,May 25,May 24,May 23,May 22,May 21,May 20,May 19,May 18,May 16,May 15,May 14,May 13,May 12,May 10,May 09,May 07,May 06,March 01,February 28,February 24,February 20,February 18,February 13,February 11,February 08,February 04,February 01,January 30,January 29,January 28,January 27,January 26,January 25,January 22,January 22,January 19,
United States of America,5,5,5,2,5,2,5,7,7,7,7,7,7,7,7,13,10,39,39,29,38,34,34,34,33,31,30,26,30,26,23,24,24,28,35,44,-
Germany,10,10,10,10,14,14,14,17,10,12,14,14,12,10,12,12,10,15,15,14,17,14,35,34,37,38,36,34,37,34,35,35,34,37,42,56,-
United Kingdom,14,16,15,16,15,18,17,17,17,17,15,15,17,17,17,17,15,42,42,46,48,48,49,53,57,47,38,37,37,52,42,41,41,71,-,-,-
Brazil,11,11,11,11,11,13,13,13,13,15,15,15,15,15,15,15,15,12,12,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,11,-
France,10,10,10,11,11,12,10,10,18,18,16,17,18,19,19,19,19,33,33,35,37,36,36,33,31,36,32,26,26,26,27,22,23,27,35,37,-
Australia,14,16,16,15,17,18,18,18,18,18,16,17,18,18,18,8,8,33,32,31,35,29,33,32,42,47,39,40,38,43,75,70,69,78,84,73,-
Canada,14,16,18,13,10,7,7,7,7,7,7,7,7,7,7,7,17,27,28,25,20,20,33,32,37,38,43,35,34,33,40,41,38,67,-,-,-
Sweden,12,15,14,12,14,16,16,16,17,16,14,14,16,18,19,18,16,-,-,-,60,85,67,73,-,-,-,8,8,8,-,-,-,-,-,-,-
Norway,11,13,13,12,5,7,7,7,9,9,9,4,7,7,18,18,10,56,56,63,-,-,-,-,-,-,-,-,-,82,-,-,-,-,-,8,-
Netherlands,5,5,5,7,7,10,7,7,10,7,10,10,10,10,10,10,10,21,23,65,66,73,77,-,-,-,93,60,56,62,-,-,-,-,-,24,-
India,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,-
Italy,4,4,4,7,7,7,7,7,16,7,10,7,7,7,7,10,13,33,33,6,28,27,27,28,34,41,35,28,27,34,30,28,30,39,38,61,-
Switzerland,2,7,5,11,10,10,15,15,15,15,13,13,15,15,15,15,13,56,56,42,56,47,65,60,51,94,65,78,78,-,-,-,-,-,-,-,-
Denmark,11,13,13,11,13,15,15,15,17,17,15,15,17,17,18,18,16,69,69,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-
Spain,11,13,13,11,13,15,16,16,15,15,13,13,15,15,15,15,13,31,31,26,29,23,28,31,29,32,31,27,25,25,27,28,24,29,28,46,-
Mexico,13,13,13,13,13,15,15,15,15,15,15,15,15,17,15,15,15,11,11,5,5,5,5,8,8,5,8,8,8,8,11,8,8,13,14,22,-
Finland,11,13,13,11,15,17,17,15,15,15,15,15,21,23,23,23,21,-,-,-,-,-,-,-,-,-,-,-,-,-,88,86,88,8,5,8,-
Austria,12,13,13,11,13,15,15,15,15,15,5,5,5,5,15,15,13,89,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,5,8,-
Poland,12,16,16,14,16,18,18,18,18,18,16,16,18,18,18,18,16,20,20,35,44,42,35,43,46,46,40,48,46,45,49,47,49,62,66,-,-
Belgium,11,14,13,12,13,15,15,15,15,15,13,13,15,15,15,15,13,-,-,-,78,82,-,95,69,56,69,-,-,89,79,79,79,73,67,-,-
Czech Republic,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,58,57,47,54,43,46,53,51,60,92,-,-,83,-,-,-,72,92,11,-
Singapore,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,8,8,5,8,8,8,8,5,10,10,10,8,8,8,15,20,22,-
New Zealand,11,11,11,11,11,13,13,13,15,17,15,17,19,19,19,19,17,53,53,-,-,-,88,73,80,-,-,-,-,-,85,83,85,-,-,-,-
Chile,11,11,11,11,11,13,13,13,13,13,13,13,15,15,15,15,15,11,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,12,23,-
Hungary,12,14,14,12,14,16,16,16,16,16,14,14,16,16,5,5,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ireland,17,19,19,15,17,17,17,17,19,21,21,21,21,23,27,27,21,-,-,-,-,-,-,-,5,-,-,-,-,5,5,5,5,8,5,8,-
Argentina,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,11,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,-
Turkey,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,11,11,47,48,46,51,55,47,59,65,55,56,78,46,45,48,48,40,42,-
Japan,19,17,19,21,19,21,21,21,17,17,19,19,15,17,17,17,17,21,21,-,92,80,66,68,43,55,52,55,51,55,-,-,-,-,-,-,-
South Africa,11,11,13,11,13,15,15,15,15,15,13,13,15,15,15,15,13,75,75,51,58,53,52,51,-,-,-,63,64,68,-,-,-,73,73,-,-
Malaysia,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,9,9,2,2,2,2,2,2,2,5,5,5,5,7,7,7,14,11,16,-
Israel,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,86,86,-,-,-,-,82,-,-,-,-,-,-,-,-,-,-,-,-,-
Slovakia,11,13,13,11,13,15,15,15,15,15,13,13,15,15,15,15,13,-,-,-,-,-,-,82,91,87,-,-,-,-,87,82,85,-,-,11,-
Portugal,11,13,13,11,13,15,15,15,15,15,13,13,15,15,15,15,13,82,82,-,-,-,-,-,92,86,-,-,-,84,-,-,-,-,-,-,-
"Taiwan, Republic of China",11,11,11,11,11,13,13,13,17,17,13,13,15,15,15,15,15,9,9,2,2,2,2,2,2,4,4,11,11,11,20,18,20,21,21,23,-
Greece,13,15,15,13,15,17,17,17,17,17,15,15,17,17,19,17,15,-,-,-,-,-,-,71,56,55,52,68,69,80,-,-,-,-,-,10,-
Philippines,11,11,11,11,13,15,17,15,15,15,13,13,15,15,15,15,15,21,21,52,37,36,33,37,44,47,41,58,59,66,52,52,52,48,63,-,-
Indonesia,9,9,9,9,9,11,11,13,13,13,13,13,13,13,15,17,17,11,11,53,37,43,47,51,47,70,62,57,56,50,47,46,50,54,60,76,-
Colombia,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,9,9,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,21,-
Romania,17,13,13,13,15,15,15,17,19,19,17,17,19,19,21,21,19,23,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peru,13,13,13,15,11,13,15,17,17,17,17,17,17,17,17,17,19,11,11,5,5,5,5,5,8,8,5,5,5,9,10,10,10,12,13,19,-
Ukraine,19,19,19,21,23,25,25,25,25,23,19,19,21,21,17,17,19,61,61,67,66,75,-,93,63,76,67,-,-,-,-,-,-,-,-,-,-
"Hong Kong, SAR China",13,13,11,11,11,15,15,13,15,19,17,17,17,17,19,19,19,9,9,-,-,-,-,-,-,-,-,-,-,-,2,2,2,5,8,10,-
Ecuador,9,9,9,9,11,13,13,13,15,15,19,19,25,23,25,21,23,11,11,7,9,7,7,7,7,7,7,11,11,11,10,10,10,14,13,20,-
Iceland,55,53,51,46,52,52,55,51,53,56,80,76,66,62,72,65,58,11,11,5,5,5,-,-,-,5,5,-,-,-,-,-,-,-,-,10,-
Lithuania,36,38,45,38,37,38,35,34,31,29,25,25,27,27,33,33,33,-,-,5,-,-,-,-,-,-,5,-,-,-,-,-,-,8,5,10,-
Estonia,31,35,39,31,33,35,34,27,23,23,15,15,19,19,19,21,19,57,57,67,8,-,-,-,-,73,72,-,-,84,5,5,5,8,5,10,-
Latvia,55,76,65,64,62,50,50,53,65,57,61,61,52,60,72,62,51,-,-,-,-,-,84,95,81,83,83,-,-,88,-,-,-,5,8,12,-
Viet Nam,13,13,11,11,11,13,13,13,13,13,13,13,11,11,11,13,13,13,13,-,79,72,48,47,40,42,30,33,34,30,56,59,61,-,-,-,-
Saudi Arabia,29,31,33,35,37,37,34,38,39,45,42,43,44,43,37,41,35,15,15,11,8,8,8,5,5,10,10,11,11,13,11,11,11,23,24,27,-
United Arab Emirates,21,21,21,21,21,29,31,33,42,40,35,31,38,30,25,25,29,31,31,21,25,22,26,33,36,-,79,-,-,-,-,-,-,-,8,12,-
Bulgaria,21,23,23,19,19,21,23,27,31,27,25,25,25,29,27,25,21,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,5,-
Korea (South),27,29,29,29,27,33,33,31,29,27,27,27,27,27,27,21,21,34,34,2,2,2,5,5,-,-,5,5,5,5,5,5,5,5,8,12,-
Luxembourg,21,23,23,21,23,27,27,25,23,25,21,21,23,23,25,25,23,-,-,-,-,5,8,5,5,5,-,8,8,8,-,-,-,-,-,8,-
Costa Rica,13,13,13,13,13,21,25,25,23,23,17,17,17,17,19,19,19,15,15,8,10,11,14,12,12,12,10,10,10,10,13,13,13,17,16,23,-
Uruguay,19,21,21,19,19,19,19,19,23,21,21,21,23,23,23,23,23,21,21,11,11,10,15,13,9,7,9,9,9,9,12,12,12,12,13,22,-
Guatemala,15,15,15,13,13,15,15,15,15,15,17,17,15,15,17,15,15,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,12,-
Thailand,17,17,17,17,19,23,23,25,23,23,25,25,27,29,25,25,23,19,19,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Panama,23,21,23,21,21,23,25,25,23,23,21,21,19,19,21,23,21,17,15,15,11,10,13,9,9,9,9,9,9,5,10,10,10,13,13,16,-
Cyprus,19,17,17,15,13,15,17,15,23,21,19,19,21,19,17,17,17,11,11,-,-,-,5,5,-,-,-,79,77,-,5,5,5,5,5,7,-
Morocco,9,9,9,9,9,11,11,13,13,13,13,13,13,13,13,13,13,37,37,47,-,-,-,-,-,-,-,-,-,-,91,87,87,-,-,-,-
Bolivia,23,23,23,23,23,25,25,23,21,21,21,21,21,21,25,23,21,15,15,10,13,14,9,2,8,7,9,9,9,9,10,10,10,12,13,21,-
Croatia,23,25,23,19,23,25,25,25,23,21,19,19,23,23,25,25,21,-,-,-,80,62,71,51,53,54,60,89,90,-,8,8,8,11,8,12,-
Dominican Republic,33,37,37,40,35,35,35,31,27,27,27,27,33,27,27,29,27,13,13,9,15,16,11,11,9,9,9,7,7,9,7,7,7,10,15,29,-
Egypt,11,11,11,11,11,13,13,13,13,13,13,13,15,15,15,11,11,9,9,35,32,33,36,33,30,24,18,16,16,16,10,10,10,8,5,5,-
Paraguay,27,25,25,25,27,31,29,27,27,31,37,33,38,37,35,31,31,13,13,10,12,11,5,7,7,7,2,2,2,2,2,2,2,2,2,13,-
Belarus,42,43,49,51,49,50,46,53,57,59,65,63,73,70,59,51,52,-,-,-,-,-,73,85,51,80,2,2,2,2,2,2,2,2,2,10,-
Slovenia,17,19,19,17,21,23,23,23,21,21,17,17,21,21,21,19,19,-,-,-,8,5,8,8,8,8,5,8,8,8,5,5,5,-,-,12,-
Malta,39,47,42,44,42,43,45,45,47,45,49,50,51,51,66,57,53,44,44,44,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,12,-
Kazakhstan,57,59,60,70,96,-,95,84,74,64,75,67,69,65,94,-,-,9,9,2,2,2,2,2,2,-,2,-,-,-,-,-,-,-,5,12,-
El Salvador,25,29,29,27,29,31,31,31,29,29,31,31,35,29,34,31,31,15,15,14,9,8,8,2,5,2,7,2,2,2,5,5,5,14,13,20,-
Pakistan,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-,-,-,-,97,-,98,74,83,86,-,5,5,5,-,-,10,-
Algeria,11,11,11,11,11,13,13,13,13,13,13,13,13,11,11,11,11,-,-,-,-,-,-,77,68,-,73,86,85,74,2,2,2,5,8,14,-
Serbia,17,19,21,23,23,23,23,23,27,29,39,37,41,39,35,35,37,11,11,-,5,5,8,8,-,-,-,-,-,8,8,8,8,8,8,8,-
Kuwait,33,31,25,27,29,33,35,35,33,41,38,38,41,41,39,34,34,62,62,53,60,98,-,94,54,88,50,60,63,93,76,78,76,2,5,16,-
Tunisia,-,-,9,9,9,-,-,-,-,-,-,-,-,-,-,-,-,9,9,2,-,-,2,5,-,2,-,-,-,-,2,2,2,5,8,14,-
Venezuela (Bolivarian Republic),-,-,-,-,-,-,-,-,13,13,-,-,-,-,-,-,-,-,-,-,73,-,-,-,5,2,2,5,5,5,2,2,2,2,5,14,-
Moldova,9,11,11,9,9,11,11,11,11,11,11,11,13,13,13,11,11,-,-,2,2,2,2,2,2,5,2,2,2,2,2,2,2,5,8,14,-
Sri Lanka,-,-,-,-,-,95,-,-,-,-,-,-,-,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,42,37,35,34,39,42,44,44,43,41,39,36,40,40,36,35,29,29,29,14,20,20,22,22,20,12,14,8,8,10,11,11,11,14,13,26,-
Lebanon,11,11,11,15,11,13,15,19,19,15,13,13,13,13,11,13,13,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,18,17,-
Oman,23,21,17,15,15,17,19,15,15,15,13,13,13,15,13,15,15,9,9,2,5,8,2,2,2,2,9,12,12,16,15,15,15,20,23,26,-
Nicaragua,29,33,33,27,33,35,35,31,27,27,25,25,25,25,25,25,25,31,31,-,-,-,5,5,-,-,-,2,2,2,2,2,2,2,2,7,-
Qatar,78,69,66,90,83,96,84,71,62,66,57,58,57,54,47,50,61,88,88,53,48,51,73,-,-,2,-,-,-,2,2,2,2,2,2,12,-
Jordan,33,37,33,33,33,37,36,43,48,54,53,53,55,52,46,47,45,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,12,-
Maldives,17,17,29,31,35,35,38,42,53,58,82,81,72,61,52,50,52,11,11,5,5,2,5,8,5,-,-,-,-,-,76,76,76,8,8,14,-
Bangladesh,9,9,9,9,9,13,13,11,11,11,11,11,13,13,11,11,13,13,13,-,-,-,-,-,8,2,2,-,-,-,2,2,2,8,8,16,-
Bahrain,59,57,52,50,50,54,60,57,75,68,-,-,-,-,-,95,80,31,31,32,38,42,33,40,-,-,-,-,-,-,-,-,-,-,-,-,-
